"","label","species","plant_number","leaf_number","area","std_dev","x","y","xm","ym","perim","bx","by","width","height","major","minor","angle","circ","feret","feret_x","feret_y","feret_angle","min_feret","ar","round","solidity","x_1"
"64","CEAGRI_P4_R1_W_00001.jpg","CEAGRI",4,4,3.668469967,18.057779121,14.988197738,12.68063323,14.988568801,12.680314757,8.972482755,13.54129066,11.748440651,2.750442838,1.910967187,2.500691487,1.867819783,4.23155423,0.572624028,2.756417906,3210,2983,176.226754891,1.904056534,1.338829104,0.746921319,0.955290694,31
"65","CEAGRI_P4_R1_W_00001.jpg","CEAGRI",4,5,3.999839866,15.081682031,11.910878645,19.59707697,11.910281485,19.596617942,9.474883429,10.339471467,18.535959863,2.906526251,2.07548754,2.562547802,1.987379235,168.68472292,0.559892587,2.91827016,2451,4619,174.85806034,2.030641973,1.289410575,0.775548161,0.940546082,32
"66","ERIKAR_P1_R1_W_00001.jpg","ERIKAR",1,1,0.620546682,27.619824063,16.715548014,4.123492116,16.720208579,4.123544004,6.481417424,15.574593495,3.851463668,2.155638482,0.577930474,1.77467267,0.445211439,174.167559549,0.185628364,2.155741671,3692,1004,179.439393825,0.574943905,3.986134481,0.250869609,0.659810785,1
"67","ERIKAR_P1_R1_W_00001.jpg","ERIKAR",1,2,0.358881733,12.681664514,10.004562824,4.841214621,10.005136649,4.841642436,3.788555493,9.318601579,4.450486494,1.37943989,0.738232357,1.396527753,0.32719895,153.587765677,0.314205593,1.538267492,2214,1055,151.677960513,0.41341012,4.268130294,0.234294628,0.904532305,2
"68","ERIKAR_P1_R1_W_00001.jpg","ERIKAR",1,3,0.481795212,17.560210823,16.614477507,11.803955593,16.615319001,11.803212587,4.756041639,15.764424672,11.208476413,1.505994008,1.168516359,1.642349397,0.373514137,37.752429508,0.267658505,1.88325304,3740,2929,37.537291415,0.466757101,4.397020718,0.22742672,0.828800147,4
"69","ERIKAR_P1_R1_W_00001.jpg","ERIKAR",1,4,0.212104496,6.178171253,10.536597636,13.669280489,10.53642999,13.66903326,2.666939032,10.107455583,13.229123835,0.784635534,0.906971181,1.108836952,0.243552338,128.437336613,0.37474303,1.159097249,2398,3136,129.832269962,0.262454396,4.552766601,0.219646665,0.943705463,5
"70","ERIKAR_P1_R1_W_00001.jpg","ERIKAR",1,5,0.320140942,16.754845578,12.459298205,21.113300961,12.45840982,21.113507581,3.523909467,11.731566768,20.894084935,1.404750713,0.451376355,1.323592144,0.307962018,12.932210692,0.323967615,1.432200283,2782,5048,12.071183419,0.375083408,4.297907102,0.232671385,0.876299959,6
"71","ERIKAR_P2_R1_W_00001.jpg","ERIKAR",2,1,0.445990678,10.430410893,16.109055643,5.99075343,16.109917921,5.990781625,4.067441143,15.123217139,5.791960148,1.79706848,0.409191649,1.583101167,0.358696576,177.532247052,0.338760754,1.797385333,3585,1419,178.924149379,0.404314153,4.413482796,0.226578429,0.921922419,9
"72","ERIKAR_P2_R1_W_00001.jpg","ERIKAR",2,2,0.532619144,12.229746021,9.929062479,5.89365517,9.930655102,5.893718161,5.251962124,8.90940993,5.652750618,1.910967187,0.531527297,1.579460174,0.429356667,178.49067875,0.242651771,1.911083587,2112,1369,179.367621932,0.531527297,3.678666932,0.271837603,0.814089487,8
"73","ERIKAR_P2_R1_W_00001.jpg","ERIKAR",2,3,0.426949499,20.49565331,15.19534205,11.918969055,15.195415,11.919218273,4.196205543,14.701370078,11.271753472,0.936500476,1.375221419,1.445187274,0.376151241,57.531404431,0.304700289,1.649697103,3489,2998,56.472473256,0.465719155,3.842037772,0.260278545,0.882707873,11
